"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","HUR","MEN","PC_LF","M","2000-01",13.7,
"POL","HUR","MEN","PC_LF","M","2000-02",14.1,
"POL","HUR","MEN","PC_LF","M","2000-03",14.3,
"POL","HUR","MEN","PC_LF","M","2000-04",14.4,
"POL","HUR","MEN","PC_LF","M","2000-05",14.5,
"POL","HUR","MEN","PC_LF","M","2000-06",14.4,
"POL","HUR","MEN","PC_LF","M","2000-07",14.4,
"POL","HUR","MEN","PC_LF","M","2000-08",14.3,
"POL","HUR","MEN","PC_LF","M","2000-09",14.4,
"POL","HUR","MEN","PC_LF","M","2000-10",14.5,
"POL","HUR","MEN","PC_LF","M","2000-11",14.8,
"POL","HUR","MEN","PC_LF","M","2000-12",15.1,
"POL","HUR","MEN","PC_LF","M","2001-01",15.6,
"POL","HUR","MEN","PC_LF","M","2001-02",15.9,
"POL","HUR","MEN","PC_LF","M","2001-03",16.2,
"POL","HUR","MEN","PC_LF","M","2001-04",16.6,
"POL","HUR","MEN","PC_LF","M","2001-05",16.9,
"POL","HUR","MEN","PC_LF","M","2001-06",17,
"POL","HUR","MEN","PC_LF","M","2001-07",17,
"POL","HUR","MEN","PC_LF","M","2001-08",17.1,
"POL","HUR","MEN","PC_LF","M","2001-09",17.3,
"POL","HUR","MEN","PC_LF","M","2001-10",17.6,
"POL","HUR","MEN","PC_LF","M","2001-11",18,
"POL","HUR","MEN","PC_LF","M","2001-12",18.2,
"POL","HUR","MEN","PC_LF","M","2002-01",18.4,
"POL","HUR","MEN","PC_LF","M","2002-02",18.5,
"POL","HUR","MEN","PC_LF","M","2002-03",18.6,
"POL","HUR","MEN","PC_LF","M","2002-04",19,
"POL","HUR","MEN","PC_LF","M","2002-05",19.1,
"POL","HUR","MEN","PC_LF","M","2002-06",19.4,
"POL","HUR","MEN","PC_LF","M","2002-07",19.4,
"POL","HUR","MEN","PC_LF","M","2002-08",19.4,
"POL","HUR","MEN","PC_LF","M","2002-09",19.6,
"POL","HUR","MEN","PC_LF","M","2002-10",19.8,
"POL","HUR","MEN","PC_LF","M","2002-11",19.8,
"POL","HUR","MEN","PC_LF","M","2002-12",19.7,
"POL","HUR","MEN","PC_LF","M","2003-01",19.3,
"POL","HUR","MEN","PC_LF","M","2003-02",19.1,
"POL","HUR","MEN","PC_LF","M","2003-03",19,
"POL","HUR","MEN","PC_LF","M","2003-04",18.9,
"POL","HUR","MEN","PC_LF","M","2003-05",18.8,
"POL","HUR","MEN","PC_LF","M","2003-06",19,
"POL","HUR","MEN","PC_LF","M","2003-07",19.2,
"POL","HUR","MEN","PC_LF","M","2003-08",19.2,
"POL","HUR","MEN","PC_LF","M","2003-09",19.2,
"POL","HUR","MEN","PC_LF","M","2003-10",19.1,
"POL","HUR","MEN","PC_LF","M","2003-11",19.1,
"POL","HUR","MEN","PC_LF","M","2003-12",19.1,
"POL","HUR","MEN","PC_LF","M","2004-01",19.2,
"POL","HUR","MEN","PC_LF","M","2004-02",19.1,
"POL","HUR","MEN","PC_LF","M","2004-03",18.9,
"POL","HUR","MEN","PC_LF","M","2004-04",18.6,
"POL","HUR","MEN","PC_LF","M","2004-05",18.5,
"POL","HUR","MEN","PC_LF","M","2004-06",18.5,
"POL","HUR","MEN","PC_LF","M","2004-07",18.5,
"POL","HUR","MEN","PC_LF","M","2004-08",18.3,
"POL","HUR","MEN","PC_LF","M","2004-09",18.1,
"POL","HUR","MEN","PC_LF","M","2004-10",17.8,
"POL","HUR","MEN","PC_LF","M","2004-11",17.3,
"POL","HUR","MEN","PC_LF","M","2004-12",17,
"POL","HUR","MEN","PC_LF","M","2005-01",16.9,
"POL","HUR","MEN","PC_LF","M","2005-02",16.6,
"POL","HUR","MEN","PC_LF","M","2005-03",17.2,
"POL","HUR","MEN","PC_LF","M","2005-04",17.1,
"POL","HUR","MEN","PC_LF","M","2005-05",17.3,
"POL","HUR","MEN","PC_LF","M","2005-06",17.3,
"POL","HUR","MEN","PC_LF","M","2005-07",17,
"POL","HUR","MEN","PC_LF","M","2005-08",16.7,
"POL","HUR","MEN","PC_LF","M","2005-09",16.6,
"POL","HUR","MEN","PC_LF","M","2005-10",16.4,
"POL","HUR","MEN","PC_LF","M","2005-11",16,
"POL","HUR","MEN","PC_LF","M","2005-12",15.7,
"POL","HUR","MEN","PC_LF","M","2006-01",15,
"POL","HUR","MEN","PC_LF","M","2006-02",14.6,
"POL","HUR","MEN","PC_LF","M","2006-03",14.2,
"POL","HUR","MEN","PC_LF","M","2006-04",13.9,
"POL","HUR","MEN","PC_LF","M","2006-05",13.5,
"POL","HUR","MEN","PC_LF","M","2006-06",13.1,
"POL","HUR","MEN","PC_LF","M","2006-07",12.9,
"POL","HUR","MEN","PC_LF","M","2006-08",12.7,
"POL","HUR","MEN","PC_LF","M","2006-09",12.3,
"POL","HUR","MEN","PC_LF","M","2006-10",11.9,
"POL","HUR","MEN","PC_LF","M","2006-11",11.4,
"POL","HUR","MEN","PC_LF","M","2006-12",10.9,
"POL","HUR","MEN","PC_LF","M","2007-01",10.4,
"POL","HUR","MEN","PC_LF","M","2007-02",10,
"POL","HUR","MEN","PC_LF","M","2007-03",9.6,
"POL","HUR","MEN","PC_LF","M","2007-04",9.4,
"POL","HUR","MEN","PC_LF","M","2007-05",9.2,
"POL","HUR","MEN","PC_LF","M","2007-06",9,
"POL","HUR","MEN","PC_LF","M","2007-07",9,
"POL","HUR","MEN","PC_LF","M","2007-08",8.9,
"POL","HUR","MEN","PC_LF","M","2007-09",8.7,
"POL","HUR","MEN","PC_LF","M","2007-10",8.4,
"POL","HUR","MEN","PC_LF","M","2007-11",8.1,
"POL","HUR","MEN","PC_LF","M","2007-12",7.7,
"POL","HUR","MEN","PC_LF","M","2008-01",7.2,
"POL","HUR","MEN","PC_LF","M","2008-02",6.9,
"POL","HUR","MEN","PC_LF","M","2008-03",6.7,
"POL","HUR","MEN","PC_LF","M","2008-04",6.7,
"POL","HUR","MEN","PC_LF","M","2008-05",6.6,
"POL","HUR","MEN","PC_LF","M","2008-06",6.3,
"POL","HUR","MEN","PC_LF","M","2008-07",6.1,
"POL","HUR","MEN","PC_LF","M","2008-08",6,
"POL","HUR","MEN","PC_LF","M","2008-09",5.9,
"POL","HUR","MEN","PC_LF","M","2008-10",6,
"POL","HUR","MEN","PC_LF","M","2008-11",6.2,
"POL","HUR","MEN","PC_LF","M","2008-12",6.3,
"POL","HUR","MEN","PC_LF","M","2009-01",6.7,
"POL","HUR","MEN","PC_LF","M","2009-02",7,
"POL","HUR","MEN","PC_LF","M","2009-03",7.3,
"POL","HUR","MEN","PC_LF","M","2009-04",7.4,
"POL","HUR","MEN","PC_LF","M","2009-05",7.5,
"POL","HUR","MEN","PC_LF","M","2009-06",7.7,
"POL","HUR","MEN","PC_LF","M","2009-07",8,
"POL","HUR","MEN","PC_LF","M","2009-08",8.1,
"POL","HUR","MEN","PC_LF","M","2009-09",8.2,
"POL","HUR","MEN","PC_LF","M","2009-10",8.3,
"POL","HUR","MEN","PC_LF","M","2009-11",8.5,
"POL","HUR","MEN","PC_LF","M","2009-12",8.8,
"POL","HUR","MEN","PC_LF","M","2010-01",9.5,
"POL","HUR","MEN","PC_LF","M","2010-02",9.5,
"POL","HUR","MEN","PC_LF","M","2010-03",9.5,
"POL","HUR","MEN","PC_LF","M","2010-04",9.4,
"POL","HUR","MEN","PC_LF","M","2010-05",9.3,
"POL","HUR","MEN","PC_LF","M","2010-06",9.3,
"POL","HUR","MEN","PC_LF","M","2010-07",9.3,
"POL","HUR","MEN","PC_LF","M","2010-08",9.2,
"POL","HUR","MEN","PC_LF","M","2010-09",9.3,
"POL","HUR","MEN","PC_LF","M","2010-10",9.3,
"POL","HUR","MEN","PC_LF","M","2010-11",9.2,
"POL","HUR","MEN","PC_LF","M","2010-12",9.2,
"POL","HUR","MEN","PC_LF","M","2011-01",9.1,
"POL","HUR","MEN","PC_LF","M","2011-02",9,
"POL","HUR","MEN","PC_LF","M","2011-03",9,
"POL","HUR","MEN","PC_LF","M","2011-04",9,
"POL","HUR","MEN","PC_LF","M","2011-05",9,
"POL","HUR","MEN","PC_LF","M","2011-06",8.9,
"POL","HUR","MEN","PC_LF","M","2011-07",8.9,
"POL","HUR","MEN","PC_LF","M","2011-08",8.9,
"POL","HUR","MEN","PC_LF","M","2011-09",9,
"POL","HUR","MEN","PC_LF","M","2011-10",9.1,
"POL","HUR","MEN","PC_LF","M","2011-11",9.1,
"POL","HUR","MEN","PC_LF","M","2011-12",9.2,
"POL","HUR","MEN","PC_LF","M","2012-01",9.2,
"POL","HUR","MEN","PC_LF","M","2012-02",9.3,
"POL","HUR","MEN","PC_LF","M","2012-03",9.2,
"POL","HUR","MEN","PC_LF","M","2012-04",9.2,
"POL","HUR","MEN","PC_LF","M","2012-05",9.3,
"POL","HUR","MEN","PC_LF","M","2012-06",9.4,
"POL","HUR","MEN","PC_LF","M","2012-07",9.6,
"POL","HUR","MEN","PC_LF","M","2012-08",9.7,
"POL","HUR","MEN","PC_LF","M","2012-09",9.7,
"POL","HUR","MEN","PC_LF","M","2012-10",9.6,
"POL","HUR","MEN","PC_LF","M","2012-11",9.6,
"POL","HUR","MEN","PC_LF","M","2012-12",9.6,
"POL","HUR","MEN","PC_LF","M","2013-01",9.8,
"POL","HUR","MEN","PC_LF","M","2013-02",9.8,
"POL","HUR","MEN","PC_LF","M","2013-03",9.9,
"POL","HUR","MEN","PC_LF","M","2013-04",10,
"POL","HUR","MEN","PC_LF","M","2013-05",9.9,
"POL","HUR","MEN","PC_LF","M","2013-06",9.8,
"POL","HUR","MEN","PC_LF","M","2013-07",9.8,
"POL","HUR","MEN","PC_LF","M","2013-08",9.7,
"POL","HUR","MEN","PC_LF","M","2013-09",9.6,
"POL","HUR","MEN","PC_LF","M","2013-10",9.4,
"POL","HUR","MEN","PC_LF","M","2013-11",9.4,
"POL","HUR","MEN","PC_LF","M","2013-12",9.4,
"POL","HUR","MEN","PC_LF","M","2014-01",9.4,
"POL","HUR","MEN","PC_LF","M","2014-02",9.4,
"POL","HUR","MEN","PC_LF","M","2014-03",9.2,
"POL","HUR","MEN","PC_LF","M","2014-04",9,
