\LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,HUR,MEN,PC_LF,M,2005-01,5.4,
USA,HUR,MEN,PC_LF,M,2005-02,5.5,
USA,HUR,MEN,PC_LF,M,2005-03,5.3,
USA,HUR,MEN,PC_LF,M,2005-04,5.1,
USA,HUR,MEN,PC_LF,M,2005-05,5,
USA,HUR,MEN,PC_LF,M,2005-06,5,
USA,HUR,MEN,PC_LF,M,2005-07,4.9,
USA,HUR,MEN,PC_LF,M,2005-08,4.9,
USA,HUR,MEN,PC_LF,M,2005-09,5,
USA,HUR,MEN,PC_LF,M,2005-10,4.8,
USA,HUR,MEN,PC_LF,M,2005-11,5,
USA,HUR,MEN,PC_LF,M,2005-12,4.8,
USA,HUR,MEN,PC_LF,M,2006-01,4.6,
USA,HUR,MEN,PC_LF,M,2006-02,4.8,
USA,HUR,MEN,PC_LF,M,2006-03,4.7,
USA,HUR,MEN,PC_LF,M,2006-04,4.7,
USA,HUR,MEN,PC_LF,M,2006-05,4.7,
USA,HUR,MEN,PC_LF,M,2006-06,4.6,
USA,HUR,MEN,PC_LF,M,2006-07,4.7,
USA,HUR,MEN,PC_LF,M,2006-08,4.7,
USA,HUR,MEN,PC_LF,M,2006-09,4.4,
USA,HUR,MEN,PC_LF,M,2006-10,4.4,
USA,HUR,MEN,PC_LF,M,2006-11,4.5,
USA,HUR,MEN,PC_LF,M,2006-12,4.5,
USA,HUR,MEN,PC_LF,M,2007-01,4.7,
USA,HUR,MEN,PC_LF,M,2007-02,4.7,
USA,HUR,MEN,PC_LF,M,2007-03,4.5,
USA,HUR,MEN,PC_LF,M,2007-04,4.6,
USA,HUR,MEN,PC_LF,M,2007-05,4.6,
USA,HUR,MEN,PC_LF,M,2007-06,4.7,
USA,HUR,MEN,PC_LF,M,2007-07,4.7,
USA,HUR,MEN,PC_LF,M,2007-08,4.7,
USA,HUR,MEN,PC_LF,M,2007-09,4.8,
USA,HUR,MEN,PC_LF,M,2007-10,4.8,
USA,HUR,MEN,PC_LF,M,2007-11,4.8,
USA,HUR,MEN,PC_LF,M,2007-12,5.1,
USA,HUR,MEN,PC_LF,M,2008-01,5.2,
USA,HUR,MEN,PC_LF,M,2008-02,5,
USA,HUR,MEN,PC_LF,M,2008-03,5.2,
USA,HUR,MEN,PC_LF,M,2008-04,5.2,
USA,HUR,MEN,PC_LF,M,2008-05,5.6,
USA,HUR,MEN,PC_LF,M,2008-06,5.8,
USA,HUR,MEN,PC_LF,M,2008-07,6.2,
USA,HUR,MEN,PC_LF,M,2008-08,6.3,
USA,HUR,MEN,PC_LF,M,2008-09,6.7,
USA,HUR,MEN,PC_LF,M,2008-10,7.1,
USA,HUR,MEN,PC_LF,M,2008-11,7.4,
USA,HUR,MEN,PC_LF,M,2008-12,8,
USA,HUR,MEN,PC_LF,M,2009-01,8.6,
USA,HUR,MEN,PC_LF,M,2009-02,9.2,
USA,HUR,MEN,PC_LF,M,2009-03,9.7,
USA,HUR,MEN,PC_LF,M,2009-04,10.1,
USA,HUR,MEN,PC_LF,M,2009-05,10.6,
USA,HUR,MEN,PC_LF,M,2009-06,10.6,
