"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","UNEMP","15_24","PC_LF","M","2000-11",34.8,
"POL","UNEMP","15_24","PC_LF","M","2000-12",35.4,
"POL","UNEMP","15_24","PC_LF","M","2001-01",36,
"POL","UNEMP","15_24","PC_LF","M","2001-02",36.8,
"POL","UNEMP","15_24","PC_LF","M","2001-03",37.6,
"POL","UNEMP","15_24","PC_LF","M","2001-04",38.5,
"POL","UNEMP","15_24","PC_LF","M","2001-05",39.2,
"POL","UNEMP","15_24","PC_LF","M","2001-06",39.7,
"POL","UNEMP","15_24","PC_LF","M","2001-07",40,
"POL","UNEMP","15_24","PC_LF","M","2001-08",40.4,
"POL","UNEMP","15_24","PC_LF","M","2001-09",40.8,
"POL","UNEMP","15_24","PC_LF","M","2001-10",41.4,
"POL","UNEMP","15_24","PC_LF","M","2001-11",41.8,
"POL","UNEMP","15_24","PC_LF","M","2001-12",41.7,
"POL","UNEMP","15_24","PC_LF","M","2002-01",41.4,
"POL","UNEMP","15_24","PC_LF","M","2002-02",41.3,
"POL","UNEMP","15_24","PC_LF","M","2002-03",41.4,
"POL","UNEMP","15_24","PC_LF","M","2002-04",41.7,
"POL","UNEMP","15_24","PC_LF","M","2002-05",41.7,
"POL","UNEMP","15_24","PC_LF","M","2002-06",42.1,
"POL","UNEMP","15_24","PC_LF","M","2002-07",42.5,
"POL","UNEMP","15_24","PC_LF","M","2002-08",42.9,
"POL","UNEMP","15_24","PC_LF","M","2002-09",43.4,
"POL","UNEMP","15_24","PC_LF","M","2002-10",44,
"POL","UNEMP","15_24","PC_LF","M","2002-11",44.2,
"POL","UNEMP","15_24","PC_LF","M","2002-12",43.8,
"POL","UNEMP","15_24","PC_LF","M","2003-01",43,
"POL","UNEMP","15_24","PC_LF","M","2003-02",42.4,
"POL","UNEMP","15_24","PC_LF","M","2003-03",42,
"POL","UNEMP","15_24","PC_LF","M","2003-04",41.6,
"POL","UNEMP","15_24","PC_LF","M","2003-05",41.6,
"POL","UNEMP","15_24","PC_LF","M","2003-06",41.8,
"POL","UNEMP","15_24","PC_LF","M","2003-07",42.3,
"POL","UNEMP","15_24","PC_LF","M","2003-08",42.4,
"POL","UNEMP","15_24","PC_LF","M","2003-09",42,
"POL","UNEMP","15_24","PC_LF","M","2003-10",41.5,
"POL","UNEMP","15_24","PC_LF","M","2003-11",41.2,
"POL","UNEMP","15_24","PC_LF","M","2003-12",41.3,
"POL","UNEMP","15_24","PC_LF","M","2004-01",41.6,
"POL","UNEMP","15_24","PC_LF","M","2004-02",41.6,
"POL","UNEMP","15_24","PC_LF","M","2004-03",41.3,
"POL","UNEMP","15_24","PC_LF","M","2004-04",40.8,
"POL","UNEMP","15_24","PC_LF","M","2004-05",40.4,
"POL","UNEMP","15_24","PC_LF","M","2004-06",40,
"POL","UNEMP","15_24","PC_LF","M","2004-07",39.5,
"POL","UNEMP","15_24","PC_LF","M","2004-08",38.9,
"POL","UNEMP","15_24","PC_LF","M","2004-09",38.2,
"POL","UNEMP","15_24","PC_LF","M","2004-10",37.7,
"POL","UNEMP","15_24","PC_LF","M","2004-11",37.5,
"POL","UNEMP","15_24","PC_LF","M","2004-12",37.4,
"POL","UNEMP","15_24","PC_LF","M","2005-01",37.2,
"POL","UNEMP","15_24","PC_LF","M","2005-02",37.6,
"POL","UNEMP","15_24","PC_LF","M","2005-03",39,
"POL","UNEMP","15_24","PC_LF","M","2005-04",39.2,
"POL","UNEMP","15_24","PC_LF","M","2005-05",39.1,
"POL","UNEMP","15_24","PC_LF","M","2005-06",38.4,
"POL","UNEMP","15_24","PC_LF","M","2005-07",37,
"POL","UNEMP","15_24","PC_LF","M","2005-08",36,
"POL","UNEMP","15_24","PC_LF","M","2005-09",35.4,
"POL","UNEMP","15_24","PC_LF","M","2005-10",35,
"POL","UNEMP","15_24","PC_LF","M","2005-11",34.7,
"POL","UNEMP","15_24","PC_LF","M","2005-12",34.2,
"POL","UNEMP","15_24","PC_LF","M","2006-01",33.6,
"POL","UNEMP","15_24","PC_LF","M","2006-02",32.9,
"POL","UNEMP","15_24","PC_LF","M","2006-03",32.3,
"POL","UNEMP","15_24","PC_LF","M","2006-04",31.5,
"POL","UNEMP","15_24","PC_LF","M","2006-05",30.6,
"POL","UNEMP","15_24","PC_LF","M","2006-06",29.8,
"POL","UNEMP","15_24","PC_LF","M","2006-07",29.1,
"POL","UNEMP","15_24","PC_LF","M","2006-08",28.5,
"POL","UNEMP","15_24","PC_LF","M","2006-09",28,
"POL","UNEMP","15_24","PC_LF","M","2006-10",27.7,
"POL","UNEMP","15_24","PC_LF","M","2006-11",27,
"POL","UNEMP","15_24","PC_LF","M","2006-12",26.2,
"POL","UNEMP","15_24","PC_LF","M","2007-01",25.3,
"POL","UNEMP","15_24","PC_LF","M","2007-02",24.4,
"POL","UNEMP","15_24","PC_LF","M","2007-03",23.6,
"POL","UNEMP","15_24","PC_LF","M","2007-04",22.9,
"POL","UNEMP","15_24","PC_LF","M","2007-05",22.3,
"POL","UNEMP","15_24","PC_LF","M","2007-06",21.8,
"POL","UNEMP","15_24","PC_LF","M","2007-07",21.6,
"POL","UNEMP","15_24","PC_LF","M","2007-08",21.1,
"POL","UNEMP","15_24","PC_LF","M","2007-09",20.2,
"POL","UNEMP","15_24","PC_LF","M","2007-10",19.2,
"POL","UNEMP","15_24","PC_LF","M","2007-11",18.6,
