"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","HUR","TOT","PC_LF","M","1997-01",11.8,
"POL","HUR","TOT","PC_LF","M","1997-02",11.5,
"POL","HUR","TOT","PC_LF","M","1997-03",11.3,
"POL","HUR","TOT","PC_LF","M","1997-04",11.1,
"POL","HUR","TOT","PC_LF","M","1997-05",10.9,
"POL","HUR","TOT","PC_LF","M","1997-06",10.9,
"POL","HUR","TOT","PC_LF","M","1997-07",10.8,
"POL","HUR","TOT","PC_LF","M","1997-08",10.7,
"POL","HUR","TOT","PC_LF","M","1997-09",10.5,
"POL","HUR","TOT","PC_LF","M","1997-10",10.4,
"POL","HUR","TOT","PC_LF","M","1997-11",10.2,
"POL","HUR","TOT","PC_LF","M","1997-12",10.1,
"POL","HUR","TOT","PC_LF","M","1998-01",10,
"POL","HUR","TOT","PC_LF","M","1998-02",9.9,
"POL","HUR","TOT","PC_LF","M","1998-03",9.8,
"POL","HUR","TOT","PC_LF","M","1998-04",9.8,
"POL","HUR","TOT","PC_LF","M","1998-05",9.9,
"POL","HUR","TOT","PC_LF","M","1998-06",10,
"POL","HUR","TOT","PC_LF","M","1998-07",10.1,
"POL","HUR","TOT","PC_LF","M","1998-08",10.2,
"POL","HUR","TOT","PC_LF","M","1998-09",10.4,
"POL","HUR","TOT","PC_LF","M","1998-10",10.6,
"POL","HUR","TOT","PC_LF","M","1998-11",10.8,
"POL","HUR","TOT","PC_LF","M","1998-12",11,
"POL","HUR","TOT","PC_LF","M","1999-01",11.5,
"POL","HUR","TOT","PC_LF","M","1999-02",12,
"POL","HUR","TOT","PC_LF","M","1999-03",12.3,
"POL","HUR","TOT","PC_LF","M","1999-04",12.7,
"POL","HUR","TOT","PC_LF","M","1999-05",12.9,
"POL","HUR","TOT","PC_LF","M","1999-06",13.2,
"POL","HUR","TOT","PC_LF","M","1999-07",13.5,
"POL","HUR","TOT","PC_LF","M","1999-08",13.8,
"POL","HUR","TOT","PC_LF","M","1999-09",14.2,
"POL","HUR","TOT","PC_LF","M","1999-10",14.5,
"POL","HUR","TOT","PC_LF","M","1999-11",14.8,
