Date,DOLNOŚLĄSKIE,KUJAWSKO-POMORSKIE,LUBELSKIE,LUBUSKIE,ŁÓDZKIE,MAŁOPOLSKIE,MAZOWIECKIE,OPOLSKIE,PODKARPACKIE,PODLASKIE,POMORSKIE,ŚLĄSKIE,ŚWIĘTOKRZYSKIE,WARMIŃSKO-MAZURSKIE,WIELKOPOLSKIE,ZACHODNIOPOMORSKIE
2011,12.4,17,13.2,15.4,12.9,10.5,9.8,13.3,15.5,14.1,12.5,10.2,15.2,20.2,9.1,17.6
2012,13.5,18.1,14.2,15.9,14,11.4,10.7,14.4,16.4,14.7,13.4,11.1,16,21.3,9.8,18.2
2013,13.1,18.2,14.4,15.7,14.1,11.5,11.1,14.2,16.3,15.1,13.2,11.3,16.6,21.6,9.6,18
2014,10.4,15.5,12.6,12.5,11.8,9.7,9.6,11.8,14.6,12.9,11.1,9.6,14.1,18.7,7.6,15.5
2015,8.5,13.2,11.7,10.5,10.3,8.3,8.3,10.1,13.2,11.8,8.9,8.2,12.5,16.2,6.1,13.1
2016,7.2,12,10.3,8.6,8.5,6.6,7,9,11.5,10.3,7.1,6.6,10.8,14.2,4.9,10.9
2017,5.7,9.9,8.8,6.5,6.7,5.3,5.6,7.3,9.6,8.5,5.4,5.1,8.8,11.7,3.7,8.5
2018,5.2,8.8,8,5.8,6.1,4.7,4.9,6.3,8.7,7.7,4.9,4.3,8.3,10.4,3.2,7.4
2019,4.6,7.9,7.5,4.9,5.4,4.1,4.4,5.8,7.9,6.9,4.5,3.6,8,9.1,2.8,6.8
2020,5.6,8.9,8.2,6.2,6.2,5.3,5.2,6.9,9.1,7.8,5.9,4.9,8.5,10.1,3.7,8.3
