"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",6.3390169,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",5.6127467,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",5.0674524,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",5.5025954,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",6.6492376,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",6.2158856,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",5.8801355,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",6.2285686,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",7.1432238,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2014",7.849329,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",7.9609022,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",7.5025826,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",7.0790563,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",7.0461249,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",5.9390721,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",8.5497122,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",8.6668043,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",7.9990644,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",6.7932315,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",9.2964573,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",8.1066341,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",7.7396588,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",8.6938677,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",9.5067225,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2014",10.755466,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",10.624196,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",11.717247,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",12.477829,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",10.870542,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",10.013733,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",12.385032,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",12.294965,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",11.348168,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",10.837299,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",11.880765,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",13.192152,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",12.060158,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",12.079521,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",13.54963,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2014",14.292768,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",14.779063,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",14.457345,
