LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
EA19,UNEMP,15_24,PC_LF,M,2005-01,18.5,
EA19,UNEMP,15_24,PC_LF,M,2005-02,18.6,
EA19,UNEMP,15_24,PC_LF,M,2005-03,18.5,
EA19,UNEMP,15_24,PC_LF,M,2005-04,18.7,
EA19,UNEMP,15_24,PC_LF,M,2005-05,18.5,
EA19,UNEMP,15_24,PC_LF,M,2005-06,18.6,
EA19,UNEMP,15_24,PC_LF,M,2005-07,18.4,
EA19,UNEMP,15_24,PC_LF,M,2005-08,18.2,
EA19,UNEMP,15_24,PC_LF,M,2005-09,18.3,
EA19,UNEMP,15_24,PC_LF,M,2005-10,18.2,
EA19,UNEMP,15_24,PC_LF,M,2005-11,17.9,
EA19,UNEMP,15_24,PC_LF,M,2005-12,17.9,
EA19,UNEMP,15_24,PC_LF,M,2006-01,17.7,
EA19,UNEMP,15_24,PC_LF,M,2006-02,17.8,
EA19,UNEMP,15_24,PC_LF,M,2006-03,17.5,
EA19,UNEMP,15_24,PC_LF,M,2006-04,17.5,
EA19,UNEMP,15_24,PC_LF,M,2006-05,17.4,
EA19,UNEMP,15_24,PC_LF,M,2006-06,17,
EA19,UNEMP,15_24,PC_LF,M,2006-07,16.8,
EA19,UNEMP,15_24,PC_LF,M,2006-08,16.8,
EA19,UNEMP,15_24,PC_LF,M,2006-09,16.8,
EA19,UNEMP,15_24,PC_LF,M,2006-10,16.7,
EA19,UNEMP,15_24,PC_LF,M,2006-11,16.6,
EA19,UNEMP,15_24,PC_LF,M,2006-12,16.2,
EA19,UNEMP,15_24,PC_LF,M,2007-01,16.2,
EA19,UNEMP,15_24,PC_LF,M,2007-02,15.8,
EA19,UNEMP,15_24,PC_LF,M,2007-03,15.8,
EA19,UNEMP,15_24,PC_LF,M,2007-04,15.7,
EA19,UNEMP,15_24,PC_LF,M,2007-05,15.6,
EA19,UNEMP,15_24,PC_LF,M,2007-06,15.6,
EA19,UNEMP,15_24,PC_LF,M,2007-07,15.5,
EA19,UNEMP,15_24,PC_LF,M,2007-08,15.5,
EA19,UNEMP,15_24,PC_LF,M,2007-09,15.2,
EA19,UNEMP,15_24,PC_LF,M,2007-10,15.2,
EA19,UNEMP,15_24,PC_LF,M,2007-11,15.1,
EA19,UNEMP,15_24,PC_LF,M,2007-12,15.2,
EA19,UNEMP,15_24,PC_LF,M,2008-01,15.1,
EA19,UNEMP,15_24,PC_LF,M,2008-02,15.2,
EA19,UNEMP,15_24,PC_LF,M,2008-03,15.2,
EA19,UNEMP,15_24,PC_LF,M,2008-04,15.3,
EA19,UNEMP,15_24,PC_LF,M,2008-05,15.7,
EA19,UNEMP,15_24,PC_LF,M,2008-06,15.9,
EA19,UNEMP,15_24,PC_LF,M,2008-07,16,
EA19,UNEMP,15_24,PC_LF,M,2008-08,16.3,
EA19,UNEMP,15_24,PC_LF,M,2008-09,16.5,
EA19,UNEMP,15_24,PC_LF,M,2008-10,17,
EA19,UNEMP,15_24,PC_LF,M,2008-11,17.5,
EA19,UNEMP,15_24,PC_LF,M,2008-12,18,
EA19,UNEMP,15_24,PC_LF,M,2009-01,18.8,
EA19,UNEMP,15_24,PC_LF,M,2009-02,19.4,
EA19,UNEMP,15_24,PC_LF,M,2009-03,20.1,
EA19,UNEMP,15_24,PC_LF,M,2009-04,20.5,
EA19,UNEMP,15_24,PC_LF,M,2009-05,20.6,
EA19,UNEMP,15_24,PC_LF,M,2009-06,20.8,
EA19,UNEMP,15_24,PC_LF,M,2009-07,21.2,
EA19,UNEMP,15_24,PC_LF,M,2009-08,21.3,
EA19,UNEMP,15_24,PC_LF,M,2009-09,21.5,
EA19,UNEMP,15_24,PC_LF,M,2009-10,21.6,
EA19,UNEMP,15_24,PC_LF,M,2009-11,21.5,
EA19,UNEMP,15_24,PC_LF,M,2009-12,21.5,
EA19,UNEMP,15_24,PC_LF,M,2010-01,21.6,
EA19,UNEMP,15_24,PC_LF,M,2010-02,21.7,
EA19,UNEMP,15_24,PC_LF,M,2010-03,21.5,
EA19,UNEMP,15_24,PC_LF,M,2010-04,21.7,
EA19,UNEMP,15_24,PC_LF,M,2010-05,21.7,
EA19,UNEMP,15_24,PC_LF,M,2010-06,21.6,
EA19,UNEMP,15_24,PC_LF,M,2010-07,21.3,
EA19,UNEMP,15_24,PC_LF,M,2010-08,21.4,
EA19,UNEMP,15_24,PC_LF,M,2010-09,21.4,
EA19,UNEMP,15_24,PC_LF,M,2010-10,21.3,
EA19,UNEMP,15_24,PC_LF,M,2010-11,21.2,
EA19,UNEMP,15_24,PC_LF,M,2010-12,21.2,
EA19,UNEMP,15_24,PC_LF,M,2011-01,21.3,
EA19,UNEMP,15_24,PC_LF,M,2011-02,21.1,
