LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,UNEMPEDU,BUPPSRY,PC_25_64,A,2016,7.5025826,
AUS,UNEMPEDU,BUPPSRY,PC_25_64,A,2017,7.0790563,
AUS,UNEMPEDU,BUPPSRY,PC_25_64,A,2018,7.0461249,
AUS,UNEMPEDU,BUPPSRY,PC_25_64,A,2019,5.9390721,
AUS,UNEMPEDU,TRY,PC_25_64,A,2016,3.2340076,
AUS,UNEMPEDU,TRY,PC_25_64,A,2017,3.3636401,
AUS,UNEMPEDU,TRY,PC_25_64,A,2018,3.29336,
AUS,UNEMPEDU,TRY,PC_25_64,A,2019,2.8989403,
AUS,UNEMPEDU,UPPSRY_NTRY,PC_25_64,A,2016,4.4636726,
AUS,UNEMPEDU,UPPSRY_NTRY,PC_25_64,A,2017,4.1310658,
AUS,UNEMPEDU,UPPSRY_NTRY,PC_25_64,A,2018,4.4228549,
AUS,UNEMPEDU,UPPSRY_NTRY,PC_25_64,A,2019,4.0721803,
AUT,UNEMPEDU,BUPPSRY,PC_25_64,A,2016,11.717247,
AUT,UNEMPEDU,BUPPSRY,PC_25_64,A,2017,12.477829,
AUT,UNEMPEDU,BUPPSRY,PC_25_64,A,2018,10.870542,
AUT,UNEMPEDU,BUPPSRY,PC_25_64,A,2019,10.013733,
AUT,UNEMPEDU,TRY,PC_25_64,A,2016,3.4075601,
AUT,UNEMPEDU,TRY,PC_25_64,A,2017,2.9824064,
AUT,UNEMPEDU,TRY,PC_25_64,A,2018,2.9675856,
AUT,UNEMPEDU,TRY,PC_25_64,A,2019,2.8301337,
AUT,UNEMPEDU,UPPSRY_NTRY,PC_25_64,A,2016,5.2282047,
AUT,UNEMPEDU,UPPSRY_NTRY,PC_25_64,A,2017,4.7288117,
AUT,UNEMPEDU,UPPSRY_NTRY,PC_25_64,A,2018,3.8333592,
AUT,UNEMPEDU,UPPSRY_NTRY,PC_25_64,A,2019,3.6240354,
BEL,UNEMPEDU,BUPPSRY,PC_25_64,A,2016,14.457345,
BEL,UNEMPEDU,BUPPSRY,PC_25_64,A,2017,13.05376,
BEL,UNEMPEDU,BUPPSRY,PC_25_64,A,2018,11.8891,
BEL,UNEMPEDU,BUPPSRY,PC_25_64,A,2019,10.406223,
BEL,UNEMPEDU,TRY,PC_25_64,A,2016,3.7356656,
BEL,UNEMPEDU,TRY,PC_25_64,A,2017,3.8462749,
BEL,UNEMPEDU,TRY,PC_25_64,A,2018,3.1575096,
BEL,UNEMPEDU,TRY,PC_25_64,A,2019,2.8982859,
BEL,UNEMPEDU,UPPSRY_NTRY,PC_25_64,A,2016,6.9744177,
BEL,UNEMPEDU,UPPSRY_NTRY,PC_25_64,A,2017,6.1271291,
BEL,UNEMPEDU,UPPSRY_NTRY,PC_25_64,A,2018,5.0862646,
BEL,UNEMPEDU,UPPSRY_NTRY,PC_25_64,A,2019,4.5967746,
